Timestamp,ClientIP,Operation,Resource
2025-02-02_174515796, 0.0.0.0, PRUEBA, 00000000001
2025-02-02_174537904, 0.0.0.0, PRUEBA, 00000000001
2025-02-02_174539995, 0.0.0.0, PRUEBA, 00000000001
2025-02-03_232708177, /192.168.194.35, ADD, dialog0
2025-02-03_232712086, /192.168.194.35, ADD, dialog1
2025-02-03_233113138, /192.168.194.35, ADD, dialog0
2025-02-03_233806801, /192.168.194.35, ADD, dialog0
2025-02-04_021250189, /192.168.194.35, ADD, El mejor producto del mundo
2025-02-04_021530228, /192.168.194.35, UPDATE_NAME, 4
2025-02-04_021543384, /192.168.194.35, UPDATE_NAME, ducto
2025-02-04_021748776, /192.168.194.35, DELETE, 3
2025-02-04_021811028, /192.168.194.35, UPDATE, 2
2025-02-04_022019325, /192.168.194.35, UPDATE, 2
